tf_bnum	tf_symbol	gene_bnum	gene_symbol	valid_tf	valid_gene
b1040	csgD	b4693	ymfN	TRUE	FALSE
b1130	phoP	b4693	ymfN	TRUE	FALSE
b1162	ycgE	b4693	ymfN	TRUE	FALSE
b1187	fadR	b4693	ymfN	TRUE	FALSE
b1201	dhaR	b4693	ymfN	TRUE	FALSE
b1221	narL	b4693	ymfN	TRUE	FALSE
b1237	hns	b4693	ymfN	TRUE	FALSE
b1275	cysB	b4693	ymfN	TRUE	FALSE
b1299	puuR	b4693	ymfN	TRUE	FALSE
b1303	pspF	b4693	ymfN	TRUE	FALSE
b1323	tyrR	b4693	ymfN	TRUE	FALSE
b1328	ycjZ	b4693	ymfN	TRUE	FALSE
b1334	fnr	b4693	ymfN	TRUE	FALSE
b1384	feaR	b4693	ymfN	TRUE	FALSE
b1399	paaX	b4693	ymfN	TRUE	FALSE
b1434	ydcN	b4693	ymfN	TRUE	FALSE
b1450	yncC	b4693	ymfN	TRUE	FALSE
b1499	ydeO	b4693	ymfN	TRUE	FALSE
b1507	hipA	b4693	ymfN	TRUE	FALSE
b1508	hipB	b4693	ymfN	TRUE	FALSE
b1512	lsrR	b4693	ymfN	TRUE	FALSE
b1530	marR	b4693	ymfN	TRUE	FALSE
b1531	marA	b4693	ymfN	TRUE	FALSE
b1563	relE	b4693	ymfN	TRUE	FALSE
b1564	relB	b4693	ymfN	TRUE	FALSE
b1594	dgsA	b4693	ymfN	TRUE	FALSE
b1608	rstA	b4693	ymfN	TRUE	FALSE
b1618	uidR	b4693	ymfN	TRUE	FALSE
b1620	malI	b4693	ymfN	TRUE	FALSE
b1642	slyA	b4693	ymfN	TRUE	FALSE
b1649	ydhM	b4693	ymfN	TRUE	FALSE
b1658	purR	b4693	ymfN	TRUE	FALSE
b1712	ihfA	b4693	ymfN	TRUE	FALSE
b1735	chbR	b4693	ymfN	TRUE	FALSE
b1827	kdgR	b4693	ymfN	TRUE	FALSE
b1891	flhC	b4693	ymfN	TRUE	FALSE
b1892	flhD	b4693	ymfN	TRUE	FALSE
b1914	uvrY	b4693	ymfN	TRUE	FALSE
b1916	sdiA	b4693	ymfN	TRUE	FALSE
b1921	fliZ	b4693	ymfN	TRUE	FALSE
b1951	rcsA	b4693	ymfN	TRUE	FALSE
b1969	yedW	b4693	ymfN	TRUE	FALSE
b1987	cbl	b4693	ymfN	TRUE	FALSE
b1988	nac	b4693	ymfN	TRUE	FALSE
b2079	baeR	b4693	ymfN	TRUE	FALSE
b2105	rcnR	b4693	ymfN	TRUE	FALSE
b2127	mlrA	b4693	ymfN	TRUE	FALSE
b2151	galS	b4693	ymfN	TRUE	FALSE
b2163	yeiL	b4693	ymfN	TRUE	FALSE
b2193	narP	b4693	ymfN	TRUE	FALSE
b2213	ada	b4693	ymfN	TRUE	FALSE
b2217	rcsB	b4693	ymfN	TRUE	FALSE
b2220	atoC	b4693	ymfN	TRUE	FALSE
b2289	lrhA	b4693	ymfN	TRUE	FALSE
b2364	dsdC	b4693	ymfN	TRUE	FALSE
b2369	evgA	b4693	ymfN	TRUE	FALSE
b2405	xapR	b4693	ymfN	TRUE	FALSE
b2427	yfeT	b4693	ymfN	TRUE	FALSE
b2491	hyfR	b4693	ymfN	TRUE	FALSE
b2531	iscR	b4693	ymfN	TRUE	FALSE
b2537	hcaR	b4693	ymfN	TRUE	FALSE
b2554	yfhA	b4693	ymfN	TRUE	FALSE
b2669	stpA	b4693	ymfN	TRUE	FALSE
b2684	mprA	b4693	ymfN	TRUE	FALSE
b2697	alaS	b4693	ymfN	TRUE	FALSE
b2706	gutM	b4693	ymfN	TRUE	FALSE
b2707	srlR	b4693	ymfN	TRUE	FALSE
b2709	norR	b4693	ymfN	TRUE	FALSE
b2714	ascG	b4693	ymfN	TRUE	FALSE
b2731	fhlA	b4693	ymfN	TRUE	FALSE
b2782	mazF	b4693	ymfN	TRUE	FALSE
b2783	mazE	b4693	ymfN	TRUE	FALSE
b2805	fucR	b4693	ymfN	TRUE	FALSE
b2808	gcvA	b4693	ymfN	TRUE	FALSE
b2837	galR	b4693	ymfN	TRUE	FALSE
b2839	lysR	b4693	ymfN	TRUE	FALSE
b2916	argP	b4693	ymfN	TRUE	FALSE
b2980	glcC	b4693	ymfN	TRUE	FALSE
b3010	yqhC	b4693	ymfN	TRUE	FALSE
b3021	ygiT	b4693	ymfN	TRUE	FALSE
b3025	qseB	b4693	ymfN	TRUE	FALSE
b3075	ebgR	b4693	ymfN	TRUE	FALSE
b3094	exuR	b4693	ymfN	TRUE	FALSE
b3105	yhaJ	b4693	ymfN	TRUE	FALSE
b3118	tdcA	b4693	ymfN	TRUE	FALSE
b3119	tdcR	b4693	ymfN	TRUE	FALSE
b3131	agaR	b4693	ymfN	TRUE	FALSE
b3226	nanR	b4693	ymfN	TRUE	FALSE
b3237	argR	b4693	ymfN	TRUE	FALSE
b3261	fis	b4693	ymfN	TRUE	FALSE
b3264	envR	b4693	ymfN	TRUE	FALSE
b3292	zntR	b4693	ymfN	TRUE	FALSE
b3357	crp	b4693	ymfN	TRUE	FALSE
b3405	ompR	b4693	ymfN	TRUE	FALSE
b3418	malT	b4693	ymfN	TRUE	FALSE
b3422	rtcR	b4693	ymfN	TRUE	FALSE
b3423	glpR	b4693	ymfN	TRUE	FALSE
b3438	gntR	b4693	ymfN	TRUE	FALSE
b3481	nikR	b4693	ymfN	TRUE	FALSE
b3501	arsR	b4693	ymfN	TRUE	FALSE
b3512	gadE	b4693	ymfN	TRUE	FALSE
b3515	gadW	b4693	ymfN	TRUE	FALSE
b3516	gadX	b4693	ymfN	TRUE	FALSE
b3556	cspA	b4693	ymfN	TRUE	FALSE
b3569	xylR	b4693	ymfN	TRUE	FALSE
b3574	yiaJ	b4693	ymfN	TRUE	FALSE
b3604	lldR	b4693	ymfN	TRUE	FALSE
b3669	uhpA	b4693	ymfN	TRUE	FALSE
b3702	dnaA	b4693	ymfN	TRUE	FALSE
b3743	asnC	b4693	ymfN	TRUE	FALSE
b3753	rbsR	b4693	ymfN	TRUE	FALSE
b3773	ilvY	b4693	ymfN	TRUE	FALSE
b3828	metR	b4693	ymfN	TRUE	FALSE
b3868	glnG	b4693	ymfN	TRUE	FALSE
